Barcode,MOQ,Stock,Price,Brand,Product,PriceRaw,TargetPrice,OriginalPrice,Cost,MinAllowedPrice,MaxAllowedPrice,PriceCandidate,PriceAdjusted,FinalMarkup
8809738605721,24,2063,11.79,Round Lab,(EU) Mugwort Cream 80ml,8.42,0.0,9.26,8.42,9.262,11.788,11.788,11.788,0.4
8809486680353,24,583,4.98,Pyunkang yul,(EU) Essence Toner 100ml,3.56,0.0,3.92,3.56,3.916,4.984,4.984,4.984,0.4
8809532220908,24,0,10.12,Haruharu Wonder,Black Rice Hyaluronic Anti-Wrinkle Serum,7.23,0.0,7.95,7.23,7.953,10.122,10.122,10.122,0.4
8809598453586,24,875,6.6,COSRX,AC Collection Lightweight Soothing Moisturizer 80ml_2.0 (EU Package),6.0,6.03,6.6,6.0,6.6,8.4,6.03,6.6,0.1
8803463007317,24,2129,7.06,VT COSMETICS,100 COLLAGEN REEDLE SHOT (2ml*10ea) (EU Package),5.04,0.0,5.54,5.04,5.544,7.056,7.056,7.056,0.4
8809532220700,24,1030,12.57,Haruharu Wonder,Black Rice Hyaluronic Toner 300ml,8.98,0.0,9.88,8.98,9.878,12.572,12.572,12.572,0.4
8800289474927,24,4622,15.9,Medicube,DEEP VITA C AMPOULE 2.0 30g,11.36,0.0,12.5,11.36,12.496,15.904,15.904,15.904,0.4
8803463006396,24,2559,24.16,VT COSMETICS,RETI-A REEDLE SHOT 100 (EU Package),17.26,0.0,18.99,17.26,18.986,24.164,24.164,24.164,0.4
8809598453623,24,904,8.44,COSRX,Hydrium Moisture Power Enriched Cream 50ml (EU Package),7.67,7.86,8.44,7.67,8.437,10.738,7.86,8.437,0.1
8809835060034,24,0,5.04,TOCOBO,Coconut Clay Cleansing Foam 150ml,3.6,0.0,3.96,3.6,3.96,5.04,5.04,5.04,0.4
8809657115479,24,307,13.66,Round Lab,(EU) 1025 DOKDO AMPULE_45g,9.76,0.0,10.74,9.76,10.736,13.664,13.664,13.664,0.4
8809738605714,24,0,10.02,Round Lab,(EU) Mugwort Toner 300ml,7.16,0.0,7.88,7.16,7.876,10.024,10.024,10.024,0.4
8809563100385,24,0,13.64,PURITO SEOUL,Hydro Wave Deep Sea Cream 50ml,9.74,0.0,10.71,9.74,10.714,13.636,13.636,13.636,0.4
8809652583112,24,2953,3.91,FWEE,Fingerlike Silicone Lip Brush,2.79,0.0,3.07,2.79,3.069,3.906,3.906,3.906,0.4
8809782558523,24,8363,8.82,Round Lab,(EU) Moisture Mild-Up Suncreen_50ml,6.3,0.0,6.93,6.3,6.93,8.82,8.82,8.82,0.4
8809598454880,24,0,10.74,COSRX,THE ALPHA-ARBUTIN 2 DISCOLORATION CARE SERUM 50ML,7.67,0.0,8.44,7.67,8.437,10.738,10.738,10.738,0.4
8806173495863,24,0,7.43,Nature Republic,(EU) ARGAN ESSENTIAL MOISTURE HAIR OIL 80ml,5.31,0.0,5.84,5.31,5.841,7.434,7.434,7.434,0.4
8806173488520,24,0,2.38,Nature Republic,(EU) HAND & NATURE APPLE MANGO JELLY HAND CREAM,1.7,0.0,1.87,1.7,1.87,2.38,2.38,2.38,0.4
8809559622679,24,0,13.09,VT COSMETICS,VT CICA CREAM 50ml (EU Package),9.35,0.0,10.29,9.35,10.285,13.09,13.09,13.09,0.4
8803463010515,24,0,12.59,VT COSMETICS,R5 FIRMING AMPOULE 30ml,8.99,0.0,9.89,8.99,9.889,12.586,12.586,12.586,0.4
8809416471655,24,815,6.96,COSRX,Two in One Poreless Power Liquid 100ml,6.33,6.46,6.96,6.33,6.963,8.862,6.46,6.963,0.1
8809598454774,24,288,5.86,COSRX,COSRX Master Patch X-LARGE 10pcs (EU Package),5.33,5.42,5.86,5.33,5.863,7.462,5.42,5.863,0.1
8809598455382,24,728,5.5,COSRX,Hydrium Watery Toner 150ml (EU Package),5.0,5.06,5.5,5.0,5.5,7.0,5.06,5.5,0.1
8800311120891,24,10607,5.5,COSRX,(3EA) 5 PDRN Hyaluronic Acid Vital Hydrating Hydrogel Mask,5.0,5.05,5.5,5.0,5.5,7.0,5.05,5.5,0.1
8800311121423,24,10576,9.9,COSRX,5 PDRN Collagen Intense Vitalizing Serum 100mL,9.0,8.93,9.9,9.0,9.9,12.6,8.93,9.9,0.1
8800311121416,24,12307,9.16,COSRX,5 PDRN B5 Vital Soothing Toner 280mL,8.33,8.29,9.16,8.33,9.163,11.662,8.29,9.163,0.1
8800311121911,24,525,6.6,COSRX,(Renew) The Vitamin C 13 Serum 20 mL,6.0,6.25,6.6,6.0,6.6,8.4,6.25,6.6,0.1
8800311121256,24,294,9.17,COSRX,Advanced The Vitamin C 23 Serum,8.34,8.29,9.17,8.34,9.174,11.676,8.29,9.174,0.1
8800311120679,24,9743,8.43,COSRX,PDRN EXOSOME SKINPLANING GLAZE MASK 50ML,7.66,7.64,8.43,7.66,8.426,10.724,7.64,8.426,0.1
